userId,movieId,rating
188,1219,4.5
168,3096,3.0
202,1783,3.0
232,2115,5.0
713,480,4.0
447,5218,3.5
655,1136,3.0
49,5349,3.0
555,1343,4.5
609,2333,5.0
291,84772,4.0
168,1269,5.0
630,1198,5.0
647,924,4.0
126,50,3.0
589,59126,3.0
259,482,3.0
538,111,4.0
431,32587,3.5
707,3039,5.0
498,6869,4.0
291,6534,2.0
143,711,0.5
591,2116,3.0
142,2707,3.0
188,3365,4.5
631,1873,4.5
143,1061,3.5
655,2692,5.0
643,1407,1.0
63,3597,4.0
143,4340,1.5
97,50,5.0
535,2764,3.0
290,3809,4.0
108,5952,4.0
526,104069,5.0
405,3578,4.0
653,50,5.0
495,1215,3.0
526,6156,2.5
400,91529,4.0
372,6333,3.5
458,4191,3.5
620,325,4.0
455,1028,5.0
236,8961,4.5
526,2126,3.0
70,608,4.0
499,5618,5.0
538,2959,4.0
362,356,4.0
264,76077,3.0
456,5995,5.0
24,41997,3.5
685,362,3.0
143,38061,3.5
495,6299,4.5
38,7482,4.0
438,145,3.0
220,1096,4.0
351,3114,3.0
111,1597,3.0
526,216,3.0
185,1917,3.0
718,261,1.5
583,1680,4.0
163,52458,2.0
49,1552,3.0
456,104,3.0
486,3033,5.0
13,35836,5.0
615,2067,5.0
68,780,4.0
299,552,4.0
437,1569,3.0
567,1608,4.0
155,74458,3.0
349,8464,4.0
146,97921,4.0
479,592,3.5
674,2729,4.0
359,1210,4.0
437,64957,4.0
90,5065,3.5
349,47629,4.0
604,3535,4.0
189,832,5.0
84,7090,4.5
513,1645,5.0
634,3397,5.0
264,110,3.5
535,4149,3.0
57,292,3.5
451,788,2.0
264,5218,3.0
684,595,2.0
697,5952,4.0
202,1267,5.0
255,1193,4.5
529,6264,2.0
455,1381,5.0
455,1804,4.0
103,882,3.0
513,5134,3.0
512,2805,3.0
225,55232,3.5
163,1304,4.0
556,1237,5.0
111,1722,3.5
388,7263,4.5
446,2628,3.0
355,5420,2.0
646,36,3.0
35,780,3.0
125,648,3.0
159,1682,4.0
5,3676,2.0
143,4857,3.5
438,31923,4.0
207,5611,3.5
217,293,5.0
446,292,3.0
143,39703,3.5
349,4798,3.5
346,2762,4.5
153,6963,4.0
544,2791,1.0
406,485,3.5
207,648,3.5
357,104,4.0
227,2795,4.0
615,1288,5.0
227,2694,4.0
176,273,2.0
583,1246,4.0
143,5466,1.5
430,1997,4.5
227,42730,2.5
92,53000,3.5
599,35836,5.0
168,121,4.0
198,1918,1.5
349,4396,1.0
438,2069,5.0
302,2858,4.0
671,55765,3.5
232,1036,4.0
486,1967,5.0
269,2710,1.0
438,2295,3.0
671,3503,4.0
313,1203,4.0
38,7280,0.5
497,2448,4.0
60,1272,4.0
291,1676,2.5
247,1245,4.0
523,141,3.0
176,4492,2.0
636,466,4.0
386,96079,4.0
82,2571,5.0
308,1343,4.0
44,1917,3.0
318,249,3.0
346,1208,4.5
220,2968,4.0
55,2019,4.0
380,474,3.0
598,55814,5.0
66,4014,4.5
599,3681,5.0
22,355,2.0
705,173,4.0
446,3535,3.5
143,67073,0.5
38,3986,4.0
232,1923,5.0
360,1711,4.0
523,468,3.0
623,6874,3.5
591,1206,4.5
591,8199,4.5
83,2858,4.5
495,5165,3.0
105,6,3.0
438,612,2.0
463,2763,5.0
228,33493,2.5
301,17,4.0
6,69951,4.0
195,2011,4.0
615,1086,5.0
143,46572,3.0
109,553,4.5
556,1200,4.0
708,586,2.5
358,1101,2.5
101,7153,5.0
143,1970,3.5
290,3175,2.0
363,111,3.0
439,318,5.0
11,594,3.0
638,293,4.5
185,5335,3.0
486,2469,4.0
349,1941,3.0
538,3998,3.5
697,2054,4.0
438,5879,2.5
703,3160,3.0
119,3114,4.0
283,3897,4.5
183,3052,4.0
438,1707,3.0
491,97225,3.5
342,1100,2.0
278,2054,2.0
700,224,5.0
11,1356,3.0
438,5453,4.0
653,3101,4.0
698,2090,4.0
228,6753,5.0
447,4027,4.5
65,661,4.0
459,6743,2.5
717,1974,3.0
130,2628,1.0
409,434,3.5
227,7445,4.5
404,2706,0.5
671,104374,2.0
143,74228,1.0
317,2987,4.0
643,44199,3.5
98,7419,5.0
438,3851,3.5
697,424,3.0
57,1,2.5
588,6493,3.5
119,1,5.0
513,1387,3.0
64,543,3.0
615,608,4.0
308,1099,2.0
438,7366,3.0
626,62,5.0
525,107,2.0
130,5902,4.0
140,3093,5.0
255,589,3.0
526,67665,5.0
422,2985,1.0
555,6863,4.5
565,296,5.0
426,1221,3.0
711,720,4.5
495,3504,5.0
153,8784,5.0
540,2396,4.0
167,3252,4.0
8,1673,2.5
350,3489,3.5
295,1203,5.0
551,1729,4.0
526,27850,3.5
374,74,4.0
616,3727,4.0
246,913,5.0
324,19,3.0
95,1408,3.0
438,4158,2.0
581,1221,4.0
544,3394,3.0
438,6127,3.5
455,2638,4.0
78,49824,0.5
702,1214,4.0
438,3975,2.5
618,6617,4.5
455,2050,5.0
591,1748,1.5
143,3168,3.5
712,111,5.0
311,852,3.0
615,2997,3.0
656,19,3.0
109,1321,4.0
445,165,5.0
286,3307,5.0
438,941,3.0
270,79293,3.5
535,2628,4.0
176,1482,3.5
41,441,4.5
163,920,3.0
538,3897,3.5
90,44191,3.5
423,420,3.0
612,380,4.0
431,1247,3.5
438,3787,5.0
15,40629,5.0
374,920,4.0
647,8798,4.0
34,2719,2.0
334,296,4.5
513,51077,3.5
24,5103,4.5
403,593,4.5
13,76251,5.0
185,7151,4.0
106,1282,3.0
308,931,3.0
414,246,4.0
51,2729,5.0
697,1653,4.0
506,2057,4.0
678,5685,4.5
5,4279,4.0
202,1049,2.0
57,778,4.0
41,3911,4.0
439,3200,3.0
269,364,5.0
502,1835,0.5
528,290,4.0
459,1676,4.0
187,7153,5.0
227,1407,4.0
438,1127,4.0
580,4936,4.0
256,22,5.0
215,5013,4.5
438,1036,5.0
455,2096,5.0
244,858,4.0
584,1079,4.0
354,316,3.0
343,3270,3.0
469,532,4.0
143,72696,1.0
17,904,4.0
455,709,4.0
535,1198,3.5
240,1028,4.0
583,4963,4.0
524,2021,3.5
616,2150,5.0
148,1197,4.0
249,99114,3.5
41,58559,2.5
56,4034,4.5
707,55052,4.5
262,5103,3.0
644,165,4.5
185,45672,3.0
592,420,4.0
698,1032,3.0
438,6183,4.0
5,3182,5.0
51,81736,5.0
293,2322,3.0
712,1380,2.0
438,2287,4.0
185,1193,3.0
15,63113,3.0
154,597,5.0
5,4958,4.0
186,1047,4.0
232,2001,4.0
598,118930,3.5
143,2706,4.0
701,10,4.0
580,4337,4.0
236,8949,4.5
51,68954,5.0
495,8636,4.0
41,6807,4.0
5,1097,3.0
226,457,5.0
678,1358,4.0
262,1912,4.0
524,60333,4.5
455,2174,4.0
291,53519,3.5
598,101,4.5
538,44204,4.0
671,1957,3.5
438,6338,2.5
506,1097,4.0
349,339,3.5
494,1580,4.0
588,216,2.5
652,1252,4.0
71,5952,5.0
377,6636,3.5
509,1200,5.0
285,551,4.5
495,3863,3.5
414,10,3.0
308,968,4.0
584,315,2.0
78,1663,4.0
454,3752,3.0
168,988,3.0
118,2427,3.0
506,6537,2.5
399,2068,5.0
392,2302,4.0
678,3996,3.5
538,78349,3.5
460,2027,3.0
376,53464,3.5
591,8372,3.0
580,1633,5.0
671,1,4.5
718,6936,4.5
484,1729,4.0
91,1968,4.0
655,3503,3.0
506,2565,5.0
366,648,4.0
653,6350,4.0
168,82,4.0
100,3897,5.0
664,1600,1.0
653,2803,3.5
349,1007,2.0
349,2716,4.5
663,1225,4.0
438,3767,2.0
674,951,5.0
342,87232,4.0
526,102445,4.5
232,1610,5.0
146,904,3.0
343,3618,1.0
698,58,5.0
677,4246,3.5
257,1270,5.0
438,5025,3.5
109,2,4.0
